"variable"|"value"|"type"|"Measure"|"StartDate"|"EndDate"
"Nat_Avg"|"70"|"Benchmark"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"MA"|"69"|"Benchmark"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"RI"|"68"|"Benchmark"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"BETH ISRAEL DEACONESS MEDICAL CENTER"|"75"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"BRIGHAM AND WOMEN'S HOSPITAL"|"81"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"CAMBRIDGE HEALTH ALLIANCE"|"63"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"KENT COUNTY MEMORIAL HOSPITAL"|"61"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON"|"79"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"LANDMARK MEDICAL CENTER,  INC"|"55"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"MASSACHUSETTS GENERAL HOSPITAL"|"81"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"MEMORIAL HOSPITAL OF RHODE ISLAND"|"66"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"MIRIAM HOSPITAL"|"76"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"MORTON HOSPITAL"|"51"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"NEW ENGLAND BAPTIST HOSPITAL"|"86"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"NEWPORT HOSPITAL"|"72"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"NEWTON-WELLESLEY HOSPITAL"|"77"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"RHODE ISLAND HOSPITAL"|"67"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"ROGER WILLIAMS MEDICAL CENTER"|"66"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"SAINT ANNE'S HOSPITAL"|"64"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"SOUTH COUNTY HOSPITAL INC"|"82"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"SOUTHCOAST HOSPITAL GROUP, INC"|"62"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"ST JOSEPH HEALTH SERVICES OF RI"|"63"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"ST VINCENT HOSPITAL"|"72"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"STURDY MEMORIAL HOSPITAL"|"70"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"TUFTS MEDICAL CENTER"|"71"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"UMASS MEMORIAL MEDICAL CENTER INC"|"64"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"WESTERLY HOSPITAL"|"71"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"WOMEN AND INFANTS HOSPITAL OF RHODE ISLAND"|"73"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"07/01/2012"|"06/30/2013"
"Nat_Avg"|"70"|"Benchmark"|"Patients who gave a rating of 9 or 10 (high)"|"4/1/2012"|"3/31/2013"
"MA"|"69"|"Benchmark"|"Patients who gave a rating of 9 or 10 (high)"|"4/1/2012"|"3/31/2013"
"RI"|"69"|"Benchmark"|"Patients who gave a rating of 9 or 10 (high)"|"4/1/2012"|"3/31/2013"
"BETH ISRAEL DEACONESS MEDICAL CENTER"|"75"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"4/1/2012"|"3/31/2013"
"BRIGHAM AND WOMEN'S HOSPITAL"|"82"|"Hospital"|"Patients who gave a rating of 9 or 10 (high)"|"4/1/2012"|"3/31/2013"
